time,open,high,low,close,volume,ema_20,ema_50,signal,positions,daily_profit,strategy_profit
2020-09-11 00:00:00-04:00,270.06,271.39,262.64,266.6,17925051,267.89009999999996,267.96998235294114,0.0,0.0,-0.005,-0.0
2020-09-14 00:00:00-04:00,270.95,276.64,265.7,266.14,21907343,267.72342380952375,267.8982183391003,0.0,0.0,-0.002,-0.0
2020-09-15 00:00:00-04:00,270.67,274.52,269.3,272.46,17159921,268.1745263038548,268.07711173756695,0.0,0.0,0.023,0.0
2020-09-16 00:00:00-04:00,267.29,272.44,261.79,263.6,27814894,267.7388571320591,267.9015387282506,0.0,0.0,-0.033,-0.0
2020-09-17 00:00:00-04:00,258.28,261.5,250.19,254.87,28542348,266.5132516909106,267.39049799380945,0.0,0.0,-0.034,-0.0
2020-09-18 00:00:00-04:00,258.405,259.2,250.05,252.29,23650916,265.15865629177625,266.79832160189534,0.0,0.0,-0.01,-0.0
2020-09-21 00:00:00-04:00,247.54,249.95,244.13,248.04,21743576,263.5283080735118,266.0627011469191,0.0,0.0,-0.017,-0.0
2020-09-22 00:00:00-04:00,253.31,255.32,248.22,254.73,27665082,262.6903739712726,265.61828149409877,0.0,0.0,0.027,0.0
2020-09-23 00:00:00-04:00,255.26,257.9921,248.15,249.02,16687178,261.38843359305616,264.9673684943302,0.0,0.0,-0.023,-0.0
2020-09-24 00:00:00-04:00,246.5,252.24,245.62,249.52,17292547,260.2581065841937,264.3615893376898,0.0,0.0,0.002,0.0
2020-09-25 00:00:00-04:00,249.4,255.75,246.61,254.82,16333161,259.74019167141336,263.9874093636627,0.0,0.0,0.021,0.0
2020-09-28 00:00:00-04:00,259.4,259.6,254.8208,256.91,14348908,259.4706496074692,263.7098638984211,0.0,0.0,0.008,0.0
2020-09-29 00:00:00-04:00,257.81,263.27,256.9,261.79,17931000,259.6915401210436,263.6345751180908,0.0,0.0,0.019,0.0
2020-09-30 00:00:00-04:00,261.98,266.085,260.1,261.8,15143419,259.89234582380135,263.56263099581275,0.0,0.0,0.0,0.0
2020-10-01 00:00:00-04:00,265.35,268.33,264.8,266.63,17390516,260.5340271739155,263.68291997636913,0.0,0.0,0.018,0.0
2020-10-02 00:00:00-04:00,261.18,265.15,259.18,259.91,13078469,260.474596014495,263.534962330237,0.0,0.0,-0.026,-0.0
2020-10-05 00:00:00-04:00,262.2,264.865,260.8401,264.65,11134757,260.872253536924,263.57868929767875,0.0,0.0,0.018,0.0
2020-10-06 00:00:00-04:00,262.01,265.69,258.24,258.53,15310065,260.6491817715027,263.3807014820835,0.0,0.0,-0.023,-0.0
2020-10-07 00:00:00-04:00,259.2,260.18,254.82,258.01,20736923,260.3978311265977,263.17008573768805,0.0,0.0,-0.002,-0.0
2020-10-08 00:00:00-04:00,259.63,264.62,259.1488,263.7051,14474701,260.71280911454073,263.1910666891513,0.0,0.0,0.022,0.0
2020-10-09 00:00:00-04:00,264.52,264.75,262.17,264.49,12400060,261.07254157982254,263.24200525036105,0.0,0.0,0.003,0.0
2020-10-12 00:00:00-04:00,270.2,280.18,267.87,275.75,27501400,262.47039476269657,263.73251484838613,0.0,0.0,0.042,0.0
2020-10-13 00:00:00-04:00,277.58,279.1,273.39,276.06,15300251,263.764642880535,264.2159456386455,0.0,0.0,0.001,0.0
2020-10-14 00:00:00-04:00,277.62,278.75,271.5,271.73,12712456,264.5232483204841,264.51061443713,1.0,1.0,-0.016,-0.0
2020-10-15 00:00:00-04:00,267.68,269.04,263.67,266.72,12984052,264.73246276615225,264.597257008223,1.0,0.0,-0.019,-0.019
2020-10-16 00:00:00-04:00,267.375,271.37,265.3,265.93,13278027,264.84651393128064,264.6495214392731,1.0,0.0,-0.003,-0.003
2020-10-19 00:00:00-04:00,265.53,268.55,259.88,261.53,9328030,264.53065546163486,264.52718726518395,1.0,0.0,-0.017,-0.017
2020-10-20 00:00:00-04:00,263.09,269.7,262.88,267.58,15678260,264.82106922719345,264.6469054116473,1.0,0.0,0.023,0.023
2020-10-21 00:00:00-04:00,279.56,283.05,276.37,278.7,24005009,266.1428721579369,265.1980071602102,1.0,0.0,0.041,0.041
2020-10-22 00:00:00-04:00,279.87,282.45,275.04,278.12,14335259,267.28355100003813,265.70475197745685,1.0,0.0,-0.002,-0.002
2020-10-23 00:00:00-04:00,278.8024,285.24,276.82,284.83,15686476,268.9546413809869,266.4547617038311,1.0,0.0,0.024,0.024
2020-10-26 00:00:00-04:00,283.16,285.23,274.26,277.12,16801519,269.7322945827977,266.87300634289653,1.0,0.0,-0.027,-0.027
2020-10-27 00:00:00-04:00,278.76,284.51,276.31,283.29,13692570,271.0235046225313,267.51681001572416,1.0,0.0,0.022,0.022
2020-10-28 00:00:00-04:00,278.79,278.79,267.26,267.55,19025766,270.69269465848066,267.518111583735,1.0,0.0,-0.057,-0.057
2020-10-29 00:00:00-04:00,276.55,283.6,273.78,279.82,24121501,271.56196183386345,268.0005385804513,1.0,0.0,0.045,0.045
2020-10-30 00:00:00-04:00,274.5,276.7,259.1,263.75,42184495,270.8179654687336,267.8338507929826,1.0,0.0,-0.059,-0.059
2020-11-02 00:00:00-05:00,264.7,270.47,257.34,261.48,23473725,269.9286354240923,267.58468017365,1.0,0.0,-0.009,-0.009
2020-11-03 00:00:00-05:00,263.16,270.03,260.88,265.08,15396707,269.46686062179776,267.48645742174216,1.0,0.0,0.014,0.014
2020-11-04 00:00:00-05:00,281.0,288.94,278.62,287.45,29987921,271.17954056257895,268.2693414444189,1.0,0.0,0.081,0.081
2020-11-05 00:00:00-05:00,291.8965,297.38,288.95,294.715,21054834,273.4210128899524,269.30642609365736,1.0,0.0,0.025,0.025
2020-11-06 00:00:00-05:00,293.95,294.6,288.06,293.41,11926170,275.32472594805216,270.251664286063,1.0,0.0,-0.004,-0.004
2020-11-09 00:00:00-05:00,290.1,292.58,278.53,278.58,20347744,275.63475204823766,270.57826568660954,1.0,0.0,-0.052,-0.052
2020-11-10 00:00:00-05:00,273.1,274.0,264.0,272.43,24003063,275.32953756745314,270.6508827185072,1.0,0.0,-0.022,-0.022
2020-11-11 00:00:00-05:00,273.48,278.4,272.48,276.35,12995178,275.4267244657909,270.8743775138598,1.0,0.0,0.014,0.014
2020-11-12 00:00:00-05:00,277.18,279.75,274.43,275.08,10765432,275.3937030880966,271.03930388586537,1.0,0.0,-0.005,-0.005
2020-11-13 00:00:00-05:00,277.73,277.76,273.1,277.27,7943494,275.57239803208734,271.2836449099491,1.0,0.0,0.008,0.008
2020-11-16 00:00:00-05:00,275.05,278.4895,274.63,276.44,5680297,275.6550267909362,271.48585491348047,1.0,0.0,-0.003,-0.003
2020-11-17 00:00:00-05:00,277.68,277.68,273.29,274.95,13735446,275.58788138227555,271.62170374040284,1.0,0.0,-0.005,-0.005
2020-11-18 00:00:00-05:00,274.52,277.3889,271.84,271.85,10310525,275.2318926792017,271.6306565348969,1.0,0.0,-0.011,-0.011
2020-11-19 00:00:00-05:00,271.025,273.47,269.19,272.83,11239019,275.0031409954682,271.67768961195975,1.0,0.0,0.004,0.004
2020-11-20 00:00:00-05:00,272.56,273.0,269.41,269.7,15376295,274.49807994828075,271.60013315658875,1.0,0.0,-0.012,-0.012
2020-11-23 00:00:00-05:00,270.89,270.9471,264.53,268.32,18118397,273.9096913817778,271.4715004837813,1.0,0.0,-0.005,-0.005
2020-11-24 00:00:00-05:00,268.49,277.8199,267.87,276.82,15502326,274.18686363113227,271.68124556284874,1.0,0.0,0.031,0.031
2020-11-25 00:00:00-05:00,278.14,280.18,272.65,275.59,11312163,274.3204956662625,271.83453005058016,1.0,0.0,-0.004,-0.004
2020-11-27 00:00:00-05:00,277.39,279.13,274.82,277.8,7178906,274.65187703138037,272.0684700485966,1.0,0.0,0.008,0.008
2020-11-30 00:00:00-05:00,276.03,277.7,271.01,277.46,12184623,274.919317314106,272.2799025957105,1.0,0.0,-0.001,-0.001
2020-12-01 00:00:00-05:00,279.16,289.3,278.96,286.51,19113315,276.02319185561976,272.83794563117283,1.0,0.0,0.032,0.032
2020-12-02 00:00:00-05:00,285.36,291.78,280.825,287.56,15904492,277.1219354884179,273.41528109661704,1.0,0.0,0.004,0.004
2020-12-03 00:00:00-05:00,286.25,286.65,281.07,281.69,11226479,277.5569892514257,273.73977987714187,1.0,0.0,-0.021,-0.021
2020-12-04 00:00:00-05:00,280.3,283.46,279.3,279.7,8779114,277.7610855131947,273.9735139996069,1.0,0.0,-0.007,-0.007
2020-12-07 00:00:00-05:00,279.19,288.49,278.2,285.58,11324390,278.50574403574757,274.4286703133478,1.0,0.0,0.021,0.021
2020-12-08 00:00:00-05:00,286.01,286.4272,281.55,283.24,9029811,278.9566255561526,274.77421265400085,1.0,0.0,-0.008,-0.008
2020-12-09 00:00:00-05:00,283.66,287.63,271.75,277.92,22595403,278.8578993127095,274.8975768636479,1.0,0.0,-0.019,-0.019
2020-12-10 00:00:00-05:00,275.535,278.73,271.86,276.93,16372195,278.6742898543562,274.97727973174017,1.0,0.0,-0.004,-0.004
2020-12-11 00:00:00-05:00,274.53,276.48,270.25,273.58,13559723,278.18911939203656,274.92248444814254,1.0,0.0,-0.012,-0.012
2020-12-14 00:00:00-05:00,273.3722,277.22,271.56,273.92,12923540,277.782536592795,274.8831713325291,1.0,0.0,0.001,0.001
2020-12-15 00:00:00-05:00,274.83,276.08,267.47,275.68,19709982,277.5822950125288,274.9144195155672,1.0,0.0,0.006,0.006
2020-12-16 00:00:00-05:00,274.76,277.86,272.51,275.7,12511476,277.4030288208594,274.9452265933881,1.0,0.0,0.0,0.0
2020-12-17 00:00:00-05:00,277.07,280.44,273.61,274.48,14041276,277.1246451236347,274.92698241325525,1.0,0.0,-0.004,-0.004
2020-12-18 00:00:00-05:00,275.775,278.0,271.14,276.15,16300000,277.03182177852665,274.9749438872452,1.0,0.0,0.006,0.006
2020-12-21 00:00:00-05:00,272.978,274.67,267.79,272.95,13200136,276.6430768472384,274.8955343230395,1.0,0.0,-0.012,-0.012
2020-12-22 00:00:00-05:00,271.5,271.5,264.63,267.17,15904410,275.74087905226327,274.5925721927243,1.0,0.0,-0.021,-0.021
2020-12-23 00:00:00-05:00,266.89,272.1699,266.23,268.05,13128242,275.0084143806192,274.3360007341861,1.0,0.0,0.003,0.003
2020-12-24 00:00:00-05:00,268.875,270.4,266.2,267.32,6222157,274.2761844396078,274.06086345049255,1.0,0.0,-0.003,-0.003
2020-12-28 00:00:00-05:00,268.74,277.27,265.66,277.0,21557606,274.53559544535943,274.176123707336,1.0,0.0,0.036,0.036
2020-12-29 00:00:00-05:00,276.95,280.51,276.28,276.78,15723232,274.7493482600871,274.2782365031268,1.0,0.0,-0.001,-0.001
2020-12-30 00:00:00-05:00,277.95,278.08,271.71,271.88,10365805,274.4760769972217,274.18418801280814,1.0,0.0,-0.018,-0.018
2020-12-31 00:00:00-05:00,272.0,277.09,269.81,273.2,11199425,274.3545458546291,274.1455924044627,1.0,0.0,0.005,0.005
2021-01-04 00:00:00-05:00,274.78,275.0,265.2,268.94,12460207,273.8388748208549,273.94145152585634,0.0,-1.0,-0.016,-0.016
2021-01-05 00:00:00-05:00,268.29,272.4,268.2111,270.97,8053296,273.5656486474402,273.82492401503845,0.0,0.0,0.008,0.0
2021-01-06 00:00:00-05:00,262.0,267.75,260.01,263.24,21446415,272.58225353816016,273.4098289556252,0.0,0.0,-0.029,-0.0
2021-01-07 00:00:00-05:00,265.9,271.61,264.78,268.63,13968342,272.20584843928776,273.2223846828556,0.0,0.0,0.02,0.0
2021-01-08 00:00:00-05:00,268.31,268.95,263.18,267.54,16730340,271.7614819212604,272.99954606784166,0.0,0.0,-0.004,-0.0
2021-01-11 00:00:00-05:00,260.48,263.47,255.9,256.81,27236030,270.33753126209274,272.36466190831845,0.0,0.0,-0.041,-0.0
2021-01-12 00:00:00-05:00,256.63,259.72,250.3,250.91,24074761,268.48729018951246,271.52330261779616,0.0,0.0,-0.023,-0.0
